sut,komoditas,prov,wilayah,lokasi,tahun,tipe lahan,tipe kebun,rate.p,rate.s,nilai.tukar,total.area,asumsi.peneliti,bagian,faktor,komponen,jenis,unit harga,harga privat,harga sosial,unit,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30,
AGROFORESTRI,LOGGING AF,GORONTALO,GORONTALO,,2014,MINERAL,LARGE SCALE,7.1,2.8,11830,1500,Based on 30 years estimation using Gorontalo wage rate at 2010 price,skenario lahan,skenario lahan,skenario lahan,lahan,,,,ha,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,45000
,,,,,,,,,,,,"Domestic price refers to Indonesia log price (domestic), sawlogs (Meranti) as in TTM ITTO report  ",tradable input,input,peralatan,Fuel,Rp/lt,5281.445315,5825.467208,ltr,12327.16971,12327.16971,12327.16971,12327.16971,12327.16971,12327.16971,12327.16971,12327.16971,12327.16971,12327.16971,12327.16971,12327.16971,12327.16971,12327.16971,12327.16971,12327.16971,12327.16971,12327.16971,12327.16971,12327.16971,12327.16971,12327.16971,12327.16971,12327.16971,12327.16971,12327.16971,12327.16971,12327.16971,12327.16971,12327.16971,
,,,,,,,,,,,,"International timber price: Malaysia log prices (Commodity price data, WB) ",tradable input,input,peralatan,Lubricants,Rp/lt,16440.83684,16440.83684,ltr,280.162948,280.162948,280.162948,280.162948,280.162948,280.162948,280.162948,280.162948,280.162948,280.162948,280.162948,280.162948,280.162948,280.162948,280.162948,280.162948,280.162948,280.162948,280.162948,280.162948,280.162948,280.162948,280.162948,280.162948,280.162948,280.162948,280.162948,280.162948,280.162948,280.162948,
,,,,,,,,,,,,Average annual cutting: 1500ha,tradable input,input,peralatan,Grease,Rp/kg,34974.7,34974.7,kg,23.03562017,23.03562017,23.03562017,23.03562017,23.03562017,23.03562017,23.03562017,23.03562017,23.03562017,23.03562017,23.03562017,23.03562017,23.03562017,23.03562017,23.03562017,23.03562017,23.03562017,23.03562017,23.03562017,23.03562017,23.03562017,23.03562017,23.03562017,23.03562017,23.03562017,23.03562017,23.03562017,23.03562017,23.03562017,23.03562017,
,,,,,,,,,,,,Commercial standing stock: 18 m3/ha,tradable input,input,peralatan,Spare parts,Rp/package,712145905,712145905,package,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
,,,,,,,,,,,,source: http://groups.yahoo.com/group/rimbawan-interaktif/message/6847,tradable input,input,peralatan,Office supplies,Rp/package,36940258,36940258,package,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,5,6,
,,,,,,,,,,,,,tradable capital,input,tradable capital,Heavy machinary,Rp/package,30460278650,1.35E+11,package/10 years,1,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,
,,,,,,,,,,,,,tradable capital,input,tradable capital,Tools,Rp/package,349501200,1550474704,package/5 years,1,,,,,1,,,,,1,,,,,1,,,,,,1,,,,,,,,,
,,,,,,,,,,,,,factor labor,input,tenaga kerja admin,Administrative / managerial,Rp/ps-year,594000000,594000000,,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,
,,,,,,,,,,,,,factor labor,input,tenaga kerja ahli,Surveyor,Rp/ha,792357.0279,792357.0279,ha,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,
,,,,,,,,,,,,,factor labor,input,tenaga kerja ahli,Scalling and debarking,Rp/m3,14122.00545,14122.00545,m3,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,
,,,,,,,,,,,,,factor labor,input,tenaga kerja ahli,Felling & Bucking,Rp/m3,8568.389533,8568.389533,m3,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,
,,,,,,,,,,,,,factor labor,input,tenaga kerja ahli,Skidding,Rp/m3,14564.19594,14564.19594,m3,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,
,,,,,,,,,,,,,factor labor,input,tenaga kerja ahli,Hauling,Rp/m3,17859.55892,17859.55892,m3,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,
,,,,,,,,,,,,,factor labor,input,tenaga kerja ahli,Workshop,Rp/ps-month,1800000,1800000,ps-month,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,
,,,,,,,,,,,,,factor labor,input,tenaga kerja ahli,TPTI,Rp/ha,3464533.769,3464533.769,ha,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,
,,,,,,,,,,,,,factor labor,input,tenaga kerja ahli,Base camp,Rp/ps-month,1800000,1800000,ps-month,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,
,,,,,,,,,,,,,factor labor,input,tenaga kerja ahli,Bina Desa,Rp/ps-month,1800000,1800000,ps-month,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,
,,,,,,,,,,,,,factor labor,input,tenaga kerja unskilled,Office,Rp/month,1800000,1800000,ps-month,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,
,,,,,,,,,,,,,factor labor,input,tenaga kerja unskilled,Base camp,Rp/month,1800000,1800000,ps-month,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,
,,,,,,,,,,,,,factor labor,input,tenaga kerja unskilled,Field,Rp/month,1800000,1800000,ps-month,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,
,,,,,,,,,,,,,factor capital,input,modal kapital,IHPH,Rp/ha,50000,0,ha,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,
,,,,,,,,,,,,,factor capital,input,modal kapital,Aerial Photograph and Interpretation,Rp/ha,20000,20000,ha,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,
,,,,,,,,,,,,,factor capital,input,modal kapital,Landsat Imagery and Interpretation,Rp/ha,400,400,ha,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,
,,,,,,,,,,,,,factor capital,input,modal kapital,AMDAL ,Rp/ha,5200,5200,ha,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,
,,,,,,,,,,,,,factor capital,input,modal kapital,Border Mark Maintenance,Rp/km,1600,1600,km,2079.102,2079.102,2079.102,2079.102,2079.102,2079.102,2079.102,2079.102,2079.102,2079.102,2079.102,2079.102,2079.102,2079.102,2079.102,2079.102,2079.102,2079.102,2079.102,2079.102,2079.102,2079.102,2079.102,2079.102,2079.102,2080.102,2081.102,2082.102,2083.102,2084.102,
,,,,,,,,,,,,,factor capital,input,modal kapital,RKD,Rp/ha,2300,2300,package/20yr,30000,,,,,,,,,,,,,,,,,,,,70000,,,,,,,,,,
,,,,,,,,,,,,,factor capital,input,modal kapital,RKL,Rp/ha,1400,1400,package/5yr,7500,,,,,7500,,,,,7500,,,,,7500,,,,,7500,,,,,,,,,,
,,,,,,,,,,,,,factor capital,input,modal kapital,RKT,Rp/ha,700,700,package/1yr,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,
,,,,,,,,,,,,,factor capital,input,modal kapital,Main road,Rp/km,150000000,150000000,km,9.545,9.545,9.545,9.545,9.545,9.545,9.545,9.545,9.545,9.545,9.545,9.545,9.545,9.545,9.545,9.545,9.545,9.545,9.545,9.545,9.545,9.545,9.545,9.545,9.545,9.545,9.545,9.545,9.545,9.545,
,,,,,,,,,,,,,factor capital,input,modal kapital,Secondary road,Rp/km,125000000,125000000,km,19.23,19.23,19.23,19.23,19.23,19.23,19.23,19.23,19.23,19.23,19.23,19.23,19.23,19.23,19.23,19.23,19.23,19.23,19.23,19.23,19.23,19.23,19.23,19.23,19.23,19.23,19.23,19.23,19.23,19.23,
,,,,,,,,,,,,,factor capital,input,modal kapital,PSDH  for  Meranti,Rp/m3,159765.549,0,m3,26187.02953,26187.02953,26187.02953,26187.02953,26187.02953,26187.02953,26187.02953,26187.02953,26187.02953,26187.02953,26187.02953,26187.02953,26187.02953,26187.02953,26187.02953,26187.02953,26187.02953,26187.02953,26187.02953,26187.02953,26187.02953,26187.02953,26187.02953,26187.02953,26187.02953,26187.02953,26187.02953,26187.02953,26187.02953,26187.02953,
,,,,,,,,,,,,,factor capital,input,modal kapital,PSDH  for  KRC,Rp/m3,159765.549,0,m3,732.9609319,732.9609319,732.9609319,732.9609319,732.9609319,732.9609319,732.9609319,732.9609319,732.9609319,732.9609319,732.9609319,732.9609319,732.9609319,732.9609319,732.9609319,732.9609319,732.9609319,732.9609319,732.9609319,732.9609319,732.9609319,732.9609319,732.9609319,732.9609319,732.9609319,732.9609319,732.9609319,732.9609319,732.9609319,732.9609319,
,,,,,,,,,,,,,factor capital,input,modal kapital,PSDH  for Kayu Indah,Rp/m3,159765.549,0,m3,80.00953711,80.00953711,80.00953711,80.00953711,80.00953711,80.00953711,80.00953711,80.00953711,80.00953711,80.00953711,80.00953711,80.00953711,80.00953711,80.00953711,80.00953711,80.00953711,80.00953711,80.00953711,80.00953711,80.00953711,80.00953711,80.00953711,80.00953711,80.00953711,80.00953711,80.00953711,80.00953711,80.00953711,80.00953711,80.00953711,
,,,,,,,,,,,,,factor capital,input,modal kapital,DR  for  Meranti,Rp/m3,189280,0,m3,26187.02953,26187.02953,26187.02953,26187.02953,26187.02953,26187.02953,26187.02953,26187.02953,26187.02953,26187.02953,26187.02953,26187.02953,26187.02953,26187.02953,26187.02953,26187.02953,26187.02953,26187.02953,26187.02953,26187.02953,26187.02953,26187.02953,26187.02953,26187.02953,26187.02953,26187.02953,26187.02953,26187.02953,26187.02953,26187.02953,
,,,,,,,,,,,,,factor capital,input,modal kapital,DR  for  KRC,Rp/m3,153790,0,m3,732.9609319,732.9609319,732.9609319,732.9609319,732.9609319,732.9609319,732.9609319,732.9609319,732.9609319,732.9609319,732.9609319,732.9609319,732.9609319,732.9609319,732.9609319,732.9609319,732.9609319,732.9609319,732.9609319,732.9609319,732.9609319,732.9609319,732.9609319,732.9609319,732.9609319,732.9609319,732.9609319,732.9609319,732.9609319,732.9609319,
,,,,,,,,,,,,,factor capital,input,modal kapital,DR  for Kayu Indah,Rp/m3,212940,0,m3,80.00953711,80.00953711,80.00953711,80.00953711,80.00953711,80.00953711,80.00953711,80.00953711,80.00953711,80.00953711,80.00953711,80.00953711,80.00953711,80.00953711,80.00953711,80.00953711,80.00953711,80.00953711,80.00953711,80.00953711,80.00953711,80.00953711,80.00953711,80.00953711,80.00953711,80.00953711,80.00953711,80.00953711,80.00953711,80.00953711,
,,,,,,,,,,,,,factor capital,input,modal kapital,PBB,Rp/ha,4000,0,ha/annum,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,
,,,,,,,,,,,,,factor capital,input,modal kapital,Vehicles documents,Rp/year,19600000,0,package/year,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
,,,,,,,,,,,,,factor capital,input,modal kapital,Misc. Expenditures,% of the operation cost,0.03,0,package/year,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
,,,,,,,,,,,,,factor capital,input,modal kapital,Working capital,% of the operation cost,0.3,0.3,rp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,output,output,utama,meranti,Rp/m3,1597655.49,1987241.597,m3,26187.02953,26187.02953,26187.02953,26187.02953,26187.02953,26187.02953,26187.02953,26187.02953,26187.02953,26187.02953,26187.02953,26187.02953,26187.02953,26187.02953,26187.02953,26187.02953,26187.02953,26187.02953,26187.02953,26187.02953,26187.02953,26187.02953,26187.02953,26187.02953,26187.02953,26187.02953,26187.02953,26187.02953,26187.02953,26187.02953,
,,,,,,,,,,,,,output,output,sampingan,KRC,Rp/m3,1597655.49,1987241.597,m3,732.9609319,732.9609319,732.9609319,732.9609319,732.9609319,732.9609319,732.9609319,732.9609319,732.9609319,732.9609319,732.9609319,732.9609319,732.9609319,732.9609319,732.9609319,732.9609319,732.9609319,732.9609319,732.9609319,732.9609319,732.9609319,732.9609319,732.9609319,732.9609319,732.9609319,732.9609319,732.9609319,732.9609319,732.9609319,732.9609319,
,,,,,,,,,,,,,output,output,sampingan,kayu indah,Rp/m3,1597655.49,1987241.597,m3,80.00953711,80.00953711,80.00953711,80.00953711,80.00953711,80.00953711,80.00953711,80.00953711,80.00953711,80.00953711,80.00953711,80.00953711,80.00953711,80.00953711,80.00953711,80.00953711,80.00953711,80.00953711,80.00953711,80.00953711,80.00953711,80.00953711,80.00953711,80.00953711,80.00953711,80.00953711,80.00953711,80.00953711,80.00953711,80.00953711,
